id,name
ocd-division/country:be/ed:brussels-capital,Brussels-Capital
ocd-division/country:be/ed:antwerp,Antwerp
ocd-division/country:be/ed:flemish-brabant,Flemish-Brabant
ocd-division/country:be/ed:limburg,Limburg
ocd-division/country:be/ed:east-flanders,East-Flanders
ocd-division/country:be/ed:west-flanders,West-Flanders
ocd-division/country:be/ed:walloon-brabant,Walloon-Brabant
ocd-division/country:be/ed:hainaut,Hainaut
ocd-division/country:be/ed:liege,Liège
ocd-division/country:be/ed:luxembourg,Luxembourg
ocd-division/country:be/ed:namur,Namur
