id,name,ordnance_id,sameAs
ocd-division/country:uk/cpc:hambleden,Hambleden,E04001601,
ocd-division/country:uk/cpc:stokenchurch,Stokenchurch,E04001615,
ocd-division/country:uk/cpc:great_marlow,Great Marlow,E04001600,
ocd-division/country:uk/cpc:lane_end,Lane End,E04001607,
ocd-division/country:uk/cpc:chepping_wycombe,Chepping Wycombe,E04001594,
ocd-division/country:uk/cpc:bledlow-cum-saunderton,Bledlow-cum-Saunderton,E04001592,
ocd-division/country:uk/cpc:great_and_little_hampden,Great and Little Hampden,E04001598,
ocd-division/country:uk/cpc:fawley,Fawley,E04001597,
ocd-division/country:uk/cpc:medmenham,Medmenham,E04001611,
ocd-division/country:uk/cpc:turville,Turville,E04001616,
ocd-division/country:uk/cpc:ibstone,Ibstone,E04001605,
ocd-division/country:uk/cpc:piddington_and_wheeler_end,Piddington and Wheeler End,E04001612,
ocd-division/country:uk/cpc:radnage,Radnage,E04001614,
ocd-division/country:uk/cpc:longwick-cum-ilmer,Longwick-cum-Ilmer,E04001609,
ocd-division/country:uk/cpc:marlow,Marlow,E04001610,
ocd-division/country:uk/cpc:little_marlow,Little Marlow,E04001608,
ocd-division/country:uk/cpc:wooburn,Wooburn,E04001618,
ocd-division/country:uk/cpc:west_wycombe,West Wycombe,E04001617,
ocd-division/country:uk/cpc:hughenden,Hughenden,E04012607,
ocd-division/country:uk/cpc:lacey_green,Lacey Green,E04012608,
ocd-division/country:uk/cpc:princes_risborough,Princes Risborough,E04001613,
ocd-division/country:uk/cpc:great_and_little_kimble_cum_marsh,Great and Little Kimble cum Marsh,E04001599,
ocd-division/country:uk/cpc:ellesborough,Ellesborough,E04001596,
ocd-division/country:uk/cpc:marlow_bottom,Marlow Bottom,E04001619,
ocd-division/country:uk/cpc:hedsor,Hedsor,E04001603,
ocd-division/country:uk/cpc:downley,Downley,E04001595,
ocd-division/country:uk/cpc:hazlemere,Hazlemere,E04001602,
ocd-division/country:uk/cpc:bradenham,Bradenham,E04001593,
ocd-division/country:uk/cpc:taplow,Taplow,E04001590,
