id,name
ocd-division/country:ke/county:ke01/ed:baringo_central,Baringo Central
ocd-division/country:ke/county:ke01/ed:baringo_north,Baringo North
ocd-division/country:ke/county:ke01/ed:baringo_south,Baringo South
ocd-division/country:ke/county:ke01/ed:eldama_ravine,Eldama Ravine
ocd-division/country:ke/county:ke01/ed:mogotio,Mogotio
ocd-division/country:ke/county:ke01/ed:tiaty,Tiaty
ocd-division/country:ke/county:ke02/ed:bomet_central,Bomet Central
ocd-division/country:ke/county:ke02/ed:bomet_east,Bomet East
ocd-division/country:ke/county:ke02/ed:chepalungu,Chepalungu
ocd-division/country:ke/county:ke02/ed:konoin,Konoin
ocd-division/country:ke/county:ke02/ed:sotik,Sotik
ocd-division/country:ke/county:ke03/ed:bumula,Bumula
ocd-division/country:ke/county:ke03/ed:kabuchai,Kabuchai
ocd-division/country:ke/county:ke03/ed:kanduyi,Kanduyi
ocd-division/country:ke/county:ke03/ed:kimilili,Kimilili
ocd-division/country:ke/county:ke03/ed:mt._elgon,Mt. Elgon
ocd-division/country:ke/county:ke03/ed:sirisia,Sirisia
ocd-division/country:ke/county:ke03/ed:tongaren,Tongaren
ocd-division/country:ke/county:ke03/ed:webuye_east,Webuye East
ocd-division/country:ke/county:ke03/ed:webuye_west,Webuye West
ocd-division/country:ke/county:ke04/ed:budalangi,Budalangi
ocd-division/country:ke/county:ke04/ed:butula,Butula
ocd-division/country:ke/county:ke04/ed:funyula,Funyula
ocd-division/country:ke/county:ke04/ed:matayos,Matayos
ocd-division/country:ke/county:ke04/ed:nambale,Nambale
ocd-division/country:ke/county:ke04/ed:teso_north,Teso North
ocd-division/country:ke/county:ke04/ed:teso_south,Teso South
ocd-division/country:ke/county:ke05/ed:keiyo_north,Keiyo North
ocd-division/country:ke/county:ke05/ed:keiyo_south,Keiyo South
ocd-division/country:ke/county:ke05/ed:marakwet_east,Marakwet East
ocd-division/country:ke/county:ke05/ed:marakwet_west,Marakwet West
ocd-division/country:ke/county:ke06/ed:manyatta,Manyatta
ocd-division/country:ke/county:ke06/ed:mbeere_north,Mbeere North
ocd-division/country:ke/county:ke06/ed:mbeere_south,Mbeere South
ocd-division/country:ke/county:ke06/ed:runyenjes,Runyenjes
ocd-division/country:ke/county:ke07/ed:balambala,Balambala
ocd-division/country:ke/county:ke07/ed:dadaab,Dadaab
ocd-division/country:ke/county:ke07/ed:fafi,Fafi
ocd-division/country:ke/county:ke07/ed:garissa_township,Garissa Township
ocd-division/country:ke/county:ke07/ed:ijara,Ijara
ocd-division/country:ke/county:ke07/ed:lagdera,Lagdera
ocd-division/country:ke/county:ke08/ed:homa_bay_town,Homa Bay Town
ocd-division/country:ke/county:ke08/ed:kabondo_kasipul,Kabondo Kasipul
ocd-division/country:ke/county:ke08/ed:karachuonyo,Karachuonyo
ocd-division/country:ke/county:ke08/ed:kasipul,Kasipul
ocd-division/country:ke/county:ke08/ed:ndhiwa,Ndhiwa
ocd-division/country:ke/county:ke08/ed:rangwe,Rangwe
ocd-division/country:ke/county:ke08/ed:suba_north,Suba North
ocd-division/country:ke/county:ke08/ed:suba_south,Suba South
ocd-division/country:ke/county:ke09/ed:isiolo_north,Isiolo North
ocd-division/country:ke/county:ke09/ed:isiolo_south,Isiolo South
ocd-division/country:ke/county:ke10/ed:kajiado_central,Kajiado Central
ocd-division/country:ke/county:ke10/ed:kajiado_east,Kajiado East
ocd-division/country:ke/county:ke10/ed:kajiado_north,Kajiado North
ocd-division/country:ke/county:ke10/ed:kajiado_south,Kajiado South
ocd-division/country:ke/county:ke10/ed:kajiado_west,Kajiado West
ocd-division/country:ke/county:ke11/ed:butere,Butere
ocd-division/country:ke/county:ke11/ed:ikolomani,Ikolomani
ocd-division/country:ke/county:ke11/ed:khwisero,Khwisero
ocd-division/country:ke/county:ke11/ed:likuyani,Likuyani
ocd-division/country:ke/county:ke11/ed:lugari,Lugari
ocd-division/country:ke/county:ke11/ed:lurambi,Lurambi
ocd-division/country:ke/county:ke11/ed:malava,Malava
ocd-division/country:ke/county:ke11/ed:matungu,Matungu
ocd-division/country:ke/county:ke11/ed:mumias_east,Mumias East
ocd-division/country:ke/county:ke11/ed:mumias_west,Mumias West
ocd-division/country:ke/county:ke11/ed:navakholo,Navakholo
ocd-division/country:ke/county:ke11/ed:shinyalu,Shinyalu
ocd-division/country:ke/county:ke12/ed:ainamoi,Ainamoi
ocd-division/country:ke/county:ke12/ed:belgut,Belgut
ocd-division/country:ke/county:ke12/ed:bureti,Bureti
ocd-division/country:ke/county:ke12/ed:kipkelion_east,Kipkelion East
ocd-division/country:ke/county:ke12/ed:kipkelion_west,Kipkelion West
ocd-division/country:ke/county:ke12/ed:sigowet_soin,Sigowet Soin
ocd-division/country:ke/county:ke13/ed:gatundu_north,Gatundu North
ocd-division/country:ke/county:ke13/ed:gatundu_south,Gatundu South
ocd-division/country:ke/county:ke13/ed:githunguri,Githunguri
ocd-division/country:ke/county:ke13/ed:juja,Juja
ocd-division/country:ke/county:ke13/ed:kabete,Kabete
ocd-division/country:ke/county:ke13/ed:kiambaa,Kiambaa
ocd-division/country:ke/county:ke13/ed:kiambu,Kiambu
ocd-division/country:ke/county:ke13/ed:kikuyu,Kikuyu
ocd-division/country:ke/county:ke13/ed:lari,Lari
ocd-division/country:ke/county:ke13/ed:limuru,Limuru
ocd-division/country:ke/county:ke13/ed:ruiru,Ruiru
ocd-division/country:ke/county:ke13/ed:thika_town,Thika Town
ocd-division/country:ke/county:ke14/ed:ganze,Ganze
ocd-division/country:ke/county:ke14/ed:kaloleni,Kaloleni
ocd-division/country:ke/county:ke14/ed:kilifi_north,Kilifi North
ocd-division/country:ke/county:ke14/ed:kilifi_south,Kilifi South
