id,name
ocd-division/country:bg,Bulgaria
ocd-division/country:bg/ed:1,Blagoevgrad
ocd-division/country:bg/ed:10,Kyustendil
ocd-division/country:bg/ed:11,Lovech
ocd-division/country:bg/ed:12,Montana
ocd-division/country:bg/ed:13,Pazardzhik
ocd-division/country:bg/ed:14,Pernik
ocd-division/country:bg/ed:15,Pleven
ocd-division/country:bg/ed:16,Plovdiv Grad
ocd-division/country:bg/ed:17,Plovdiv Oblast
ocd-division/country:bg/ed:18,Razgrad
ocd-division/country:bg/ed:19,Ruse
ocd-division/country:bg/ed:2,Burgas
ocd-division/country:bg/ed:20,Silistra
ocd-division/country:bg/ed:21,Sliven
ocd-division/country:bg/ed:22,Smolyan
ocd-division/country:bg/ed:23,Sofia 1
ocd-division/country:bg/ed:24,Sofia 2
ocd-division/country:bg/ed:25,Sofia 3
ocd-division/country:bg/ed:26,Sofia Oblast
ocd-division/country:bg/ed:27,Stara Zagora
ocd-division/country:bg/ed:28,Targovishte
ocd-division/country:bg/ed:29,Haskovo
ocd-division/country:bg/ed:3,Varna
ocd-division/country:bg/ed:30,Shumen
ocd-division/country:bg/ed:31,Yambol
ocd-division/country:bg/ed:4,Veliko Tarnovo
ocd-division/country:bg/ed:5,Vidin
ocd-division/country:bg/ed:6,Vratsa
ocd-division/country:bg/ed:7,Gabrovo
ocd-division/country:bg/ed:8,Dobrich
ocd-division/country:bg/ed:9,Kardzhali
