ocd-division/country:us/state:al/county:autauga,Autauga County
ocd-division/country:us/state:al/county:baldwin,Baldwin County
ocd-division/country:us/state:al/county:barbour,Barbour County
ocd-division/country:us/state:al/county:bibb,Bibb County
ocd-division/country:us/state:al/county:blount,Blount County
ocd-division/country:us/state:al/county:bullock,Bullock County
ocd-division/country:us/state:al/county:butler,Butler County
ocd-division/country:us/state:al/county:calhoun,Calhoun County
ocd-division/country:us/state:al/county:chambers,Chambers County
ocd-division/country:us/state:al/county:cherokee,Cherokee County
ocd-division/country:us/state:al/county:chilton,Chilton County
ocd-division/country:us/state:al/county:choctaw,Choctaw County
ocd-division/country:us/state:al/county:clarke,Clarke County
ocd-division/country:us/state:al/county:clay,Clay County
ocd-division/country:us/state:al/county:cleburne,Cleburne County
ocd-division/country:us/state:al/county:coffee,Coffee County
ocd-division/country:us/state:al/county:colbert,Colbert County
ocd-division/country:us/state:al/county:conecuh,Conecuh County
ocd-division/country:us/state:al/county:coosa,Coosa County
ocd-division/country:us/state:al/county:covington,Covington County
ocd-division/country:us/state:al/county:crenshaw,Crenshaw County
ocd-division/country:us/state:al/county:cullman,Cullman County
ocd-division/country:us/state:al/county:dale,Dale County
ocd-division/country:us/state:al/county:dallas,Dallas County
ocd-division/country:us/state:al/county:dekalb,DeKalb County
ocd-division/country:us/state:al/county:elmore,Elmore County
ocd-division/country:us/state:al/county:escambia,Escambia County
ocd-division/country:us/state:al/county:etowah,Etowah County
ocd-division/country:us/state:al/county:fayette,Fayette County
ocd-division/country:us/state:al/county:franklin,Franklin County
ocd-division/country:us/state:al/county:geneva,Geneva County
ocd-division/country:us/state:al/county:greene,Greene County
ocd-division/country:us/state:al/county:hale,Hale County
ocd-division/country:us/state:al/county:henry,Henry County
ocd-division/country:us/state:al/county:houston,Houston County
ocd-division/country:us/state:al/county:jackson,Jackson County
ocd-division/country:us/state:al/county:jefferson,Jefferson County
ocd-division/country:us/state:al/county:lamar,Lamar County
ocd-division/country:us/state:al/county:lauderdale,Lauderdale County
ocd-division/country:us/state:al/county:lawrence,Lawrence County
ocd-division/country:us/state:al/county:lee,Lee County
ocd-division/country:us/state:al/county:limestone,Limestone County
ocd-division/country:us/state:al/county:lowndes,Lowndes County
ocd-division/country:us/state:al/county:macon,Macon County
ocd-division/country:us/state:al/county:madison,Madison County
ocd-division/country:us/state:al/county:marengo,Marengo County
ocd-division/country:us/state:al/county:marion,Marion County
ocd-division/country:us/state:al/county:marshall,Marshall County
ocd-division/country:us/state:al/county:mobile,Mobile County
ocd-division/country:us/state:al/county:monroe,Monroe County
ocd-division/country:us/state:al/county:montgomery,Montgomery County
ocd-division/country:us/state:al/county:morgan,Morgan County
ocd-division/country:us/state:al/county:perry,Perry County
ocd-division/country:us/state:al/county:pickens,Pickens County
ocd-division/country:us/state:al/county:pike,Pike County
ocd-division/country:us/state:al/county:randolph,Randolph County
ocd-division/country:us/state:al/county:russell,Russell County
ocd-division/country:us/state:al/county:shelby,Shelby County
ocd-division/country:us/state:al/county:st_clair,St. Clair County
ocd-division/country:us/state:al/county:sumter,Sumter County
ocd-division/country:us/state:al/county:talladega,Talladega County
ocd-division/country:us/state:al/county:tallapoosa,Tallapoosa County
ocd-division/country:us/state:al/county:tuscaloosa,Tuscaloosa County
ocd-division/country:us/state:al/county:walker,Walker County
ocd-division/country:us/state:al/county:washington,Washington County
ocd-division/country:us/state:al/county:wilcox,Wilcox County
ocd-division/country:us/state:al/county:winston,Winston County
ocd-division/country:us/state:al/place:abbeville,Abbeville city
ocd-division/country:us/state:al/place:adamsville,Adamsville city
ocd-division/country:us/state:al/place:addison,Addison town
ocd-division/country:us/state:al/place:akron,Akron town
ocd-division/country:us/state:al/place:alabaster,Alabaster city
ocd-division/country:us/state:al/place:albertville,Albertville city
ocd-division/country:us/state:al/place:alexander_city,Alexander City city
ocd-division/country:us/state:al/place:aliceville,Aliceville city
ocd-division/country:us/state:al/place:allgood,Allgood town
ocd-division/country:us/state:al/place:altoona,Altoona town
ocd-division/country:us/state:al/place:andalusia,Andalusia city
ocd-division/country:us/state:al/place:anderson,Anderson town
ocd-division/country:us/state:al/place:anniston,Anniston city
ocd-division/country:us/state:al/place:arab,Arab city
ocd-division/country:us/state:al/place:ardmore,Ardmore town
ocd-division/country:us/state:al/place:argo,Argo town
ocd-division/country:us/state:al/place:ariton,Ariton town
ocd-division/country:us/state:al/place:arley,Arley town
ocd-division/country:us/state:al/place:ashford,Ashford town
ocd-division/country:us/state:al/place:ashland,Ashland town
ocd-division/country:us/state:al/place:ashville,Ashville city
ocd-division/country:us/state:al/place:athens,Athens city
ocd-division/country:us/state:al/place:atmore,Atmore city
ocd-division/country:us/state:al/place:attalla,Attalla city
ocd-division/country:us/state:al/place:auburn,Auburn city
ocd-division/country:us/state:al/place:autaugaville,Autaugaville town
ocd-division/country:us/state:al/place:avon,Avon town
ocd-division/country:us/state:al/place:babbie,Babbie town
ocd-division/country:us/state:al/place:baileyton,Baileyton town
ocd-division/country:us/state:al/place:bakerhill,Bakerhill town
ocd-division/country:us/state:al/place:banks,Banks town
ocd-division/country:us/state:al/place:bay_minette,Bay Minette city
ocd-division/country:us/state:al/place:bayou_la_batre,Bayou La Batre city
ocd-division/country:us/state:al/place:bear_creek,Bear Creek town
ocd-division/country:us/state:al/place:beatrice,Beatrice town
ocd-division/country:us/state:al/place:beaverton,Beaverton town
ocd-division/country:us/state:al/place:belk,Belk town
ocd-division/country:us/state:al/place:benton,Benton town
ocd-division/country:us/state:al/place:berry,Berry town
ocd-division/country:us/state:al/place:bessemer,Bessemer city
ocd-division/country:us/state:al/place:billingsley,Billingsley town
ocd-division/country:us/state:al/place:birmingham,Birmingham city
ocd-division/country:us/state:al/place:black,Black town
ocd-division/country:us/state:al/place:blountsville,Blountsville town
ocd-division/country:us/state:al/place:blue_springs,Blue Springs town
ocd-division/country:us/state:al/place:boaz,Boaz city
ocd-division/country:us/state:al/place:boligee,Boligee town
ocd-division/country:us/state:al/place:bon_air,Bon Air town
ocd-division/country:us/state:al/place:brantley,Brantley town
ocd-division/country:us/state:al/place:brent,Brent city
ocd-division/country:us/state:al/place:brewton,Brewton city
ocd-division/country:us/state:al/place:bridgeport,Bridgeport city
ocd-division/country:us/state:al/place:brighton,Brighton city
ocd-division/country:us/state:al/place:brilliant,Brilliant town
ocd-division/country:us/state:al/place:brookside,Brookside town
ocd-division/country:us/state:al/place:brookwood,Brookwood town
ocd-division/country:us/state:al/place:brundidge,Brundidge city
ocd-division/country:us/state:al/place:butler,Butler town
ocd-division/country:us/state:al/place:calera,Calera city
ocd-division/country:us/state:al/place:camden,Camden city
ocd-division/country:us/state:al/place:camp_hill,Camp Hill town
ocd-division/country:us/state:al/place:carbon_hill,Carbon Hill city
ocd-division/country:us/state:al/place:cardiff,Cardiff town
ocd-division/country:us/state:al/place:carolina,Carolina town
ocd-division/country:us/state:al/place:carrollton,Carrollton town
ocd-division/country:us/state:al/place:castleberry,Castleberry town
ocd-division/country:us/state:al/place:cedar_bluff,Cedar Bluff town
ocd-division/country:us/state:al/place:center_point,Center Point city
ocd-division/country:us/state:al/place:centre,Centre city
ocd-division/country:us/state:al/place:centreville,Centreville city
ocd-division/country:us/state:al/place:chatom,Chatom town
ocd-division/country:us/state:al/place:chelsea,Chelsea city
ocd-division/country:us/state:al/place:cherokee,Cherokee town
ocd-division/country:us/state:al/place:chickasaw,Chickasaw city
ocd-division/country:us/state:al/place:childersburg,Childersburg city
ocd-division/country:us/state:al/place:citronelle,Citronelle city
ocd-division/country:us/state:al/place:clanton,Clanton city
ocd-division/country:us/state:al/place:clay,Clay city
ocd-division/country:us/state:al/place:clayhatchee,Clayhatchee town
ocd-division/country:us/state:al/place:clayton,Clayton town
ocd-division/country:us/state:al/place:cleveland,Cleveland town
ocd-division/country:us/state:al/place:clio,Clio city
ocd-division/country:us/state:al/place:coaling,Coaling town
ocd-division/country:us/state:al/place:coffee_springs,Coffee Springs town
ocd-division/country:us/state:al/place:coffeeville,Coffeeville town
ocd-division/country:us/state:al/place:coker,Coker town
ocd-division/country:us/state:al/place:collinsville,Collinsville town
ocd-division/country:us/state:al/place:colony,Colony town
ocd-division/country:us/state:al/place:columbia,Columbia town
ocd-division/country:us/state:al/place:columbiana,Columbiana city
ocd-division/country:us/state:al/place:coosada,Coosada town
ocd-division/country:us/state:al/place:cordova,Cordova city
ocd-division/country:us/state:al/place:cottonwood,Cottonwood town
ocd-division/country:us/state:al/place:county_line,County Line town
ocd-division/country:us/state:al/place:courtland,Courtland town
ocd-division/country:us/state:al/place:cowarts,Cowarts town
ocd-division/country:us/state:al/place:creola,Creola city
ocd-division/country:us/state:al/place:crossville,Crossville town
ocd-division/country:us/state:al/place:cuba,Cuba town
ocd-division/country:us/state:al/place:cullman,Cullman city
ocd-division/country:us/state:al/place:cusseta,Cusseta town
ocd-division/country:us/state:al/place:dadeville,Dadeville city
ocd-division/country:us/state:al/place:daleville,Daleville city
ocd-division/country:us/state:al/place:daphne,Daphne city
ocd-division/country:us/state:al/place:dauphin_island,Dauphin Island town
ocd-division/country:us/state:al/place:daviston,Daviston town
ocd-division/country:us/state:al/place:dayton,Dayton town
ocd-division/country:us/state:al/place:deatsville,Deatsville town
ocd-division/country:us/state:al/place:decatur,Decatur city
ocd-division/country:us/state:al/place:demopolis,Demopolis city
ocd-division/country:us/state:al/place:detroit,Detroit town
ocd-division/country:us/state:al/place:dodge_city,Dodge City town
ocd-division/country:us/state:al/place:dora,Dora city
ocd-division/country:us/state:al/place:dothan,Dothan city
ocd-division/country:us/state:al/place:double_springs,Double Springs town
ocd-division/country:us/state:al/place:douglas,Douglas town
ocd-division/country:us/state:al/place:dozier,Dozier town
ocd-division/country:us/state:al/place:dutton,Dutton town
ocd-division/country:us/state:al/place:east_brewton,East Brewton city
ocd-division/country:us/state:al/place:eclectic,Eclectic town
ocd-division/country:us/state:al/place:edwardsville,Edwardsville town
ocd-division/country:us/state:al/place:elba,Elba city
ocd-division/country:us/state:al/place:elberta,Elberta town
ocd-division/country:us/state:al/place:eldridge,Eldridge town
ocd-division/country:us/state:al/place:elkmont,Elkmont town
ocd-division/country:us/state:al/place:elmore,Elmore town
