ocd-division/country:us/state:nd/county:barnes/council_district:1,Barnes County District 1
ocd-division/country:us/state:nd/county:barnes/council_district:2,Barnes County District 2
ocd-division/country:us/state:nd/county:barnes/council_district:3,Barnes County District 3
ocd-division/country:us/state:nd/county:barnes/council_district:4,Barnes County District 4
ocd-division/country:us/state:nd/county:barnes/council_district:5,Barnes County District 5
ocd-division/country:us/state:nd/county:billings/council_district:1,Billings County District 1
ocd-division/country:us/state:nd/county:billings/council_district:2,Billings County District 2
ocd-division/country:us/state:nd/county:billings/council_district:3,Billings County District 3
ocd-division/country:us/state:nd/county:bottineau/council_district:1,Bottineau County District 1
ocd-division/country:us/state:nd/county:bottineau/council_district:2,Bottineau County District 2
ocd-division/country:us/state:nd/county:bottineau/council_district:3,Bottineau County District 3
ocd-division/country:us/state:nd/county:bottineau/council_district:4,Bottineau County District 4
ocd-division/country:us/state:nd/county:bottineau/council_district:5,Bottineau County District 5
ocd-division/country:us/state:nd/county:burke/council_district:1,Burke County District 1
ocd-division/country:us/state:nd/county:burke/council_district:2,Burke County District 2
ocd-division/country:us/state:nd/county:burke/council_district:3,Burke County District 3
ocd-division/country:us/state:nd/county:cass/council_district:1,Cass County District 1
ocd-division/country:us/state:nd/county:cass/council_district:2,Cass County District 2
ocd-division/country:us/state:nd/county:cass/council_district:3,Cass County District 3
ocd-division/country:us/state:nd/county:cass/council_district:4,Cass County District 4
ocd-division/country:us/state:nd/county:cass/council_district:5,Cass County District 5
ocd-division/country:us/state:nd/county:emmons/council_district:1,Emmons County District 1
ocd-division/country:us/state:nd/county:emmons/council_district:2,Emmons County District 2
ocd-division/country:us/state:nd/county:emmons/council_district:3,Emmons County District 3
ocd-division/country:us/state:nd/county:emmons/council_district:4,Emmons County District 4
ocd-division/country:us/state:nd/county:emmons/council_district:5,Emmons County District 5
ocd-division/country:us/state:nd/county:foster/council_district:1,Foster County District 1
ocd-division/country:us/state:nd/county:foster/council_district:2,Foster County District 2
ocd-division/country:us/state:nd/county:foster/council_district:3,Foster County District 3
ocd-division/country:us/state:nd/county:foster/council_district:4,Foster County District 4
ocd-division/country:us/state:nd/county:foster/council_district:5,Foster County District 5
ocd-division/country:us/state:nd/county:griggs/council_district:1,Griggs County District 1
ocd-division/country:us/state:nd/county:griggs/council_district:2,Griggs County District 2
ocd-division/country:us/state:nd/county:griggs/council_district:3,Griggs County District 3
ocd-division/country:us/state:nd/county:griggs/council_district:4,Griggs County District 4
ocd-division/country:us/state:nd/county:griggs/council_district:5,Griggs County District 5
ocd-division/country:us/state:nd/county:lamoure/council_district:1,LaMoure County District 1
ocd-division/country:us/state:nd/county:lamoure/council_district:2,LaMoure County District 2
ocd-division/country:us/state:nd/county:lamoure/council_district:3,LaMoure County District 3
ocd-division/country:us/state:nd/county:lamoure/council_district:4,LaMoure County District 4
ocd-division/country:us/state:nd/county:lamoure/council_district:5,LaMoure County District 5
ocd-division/country:us/state:nd/county:mchenry/council_district:1,McHenry County District 1
ocd-division/country:us/state:nd/county:mchenry/council_district:2,McHenry County District 2
ocd-division/country:us/state:nd/county:mchenry/council_district:3,McHenry County District 3
ocd-division/country:us/state:nd/county:mchenry/council_district:4,McHenry County District 4
ocd-division/country:us/state:nd/county:mchenry/council_district:5,McHenry County District 5
ocd-division/country:us/state:nd/county:mclean/council_district:1,McLean County District 1
ocd-division/country:us/state:nd/county:mclean/council_district:2,McLean County District 2
ocd-division/country:us/state:nd/county:mclean/council_district:3,McLean County District 3
ocd-division/country:us/state:nd/county:pembina/council_district:1,Pembina County District 1
ocd-division/country:us/state:nd/county:pembina/council_district:2,Pembina County District 2
ocd-division/country:us/state:nd/county:pembina/council_district:3,Pembina County District 3
ocd-division/country:us/state:nd/county:pembina/council_district:4,Pembina County District 4
ocd-division/country:us/state:nd/county:pembina/council_district:5,Pembina County District 5
ocd-division/country:us/state:nd/county:pierce/council_district:1,Pierce County District 1
ocd-division/country:us/state:nd/county:pierce/council_district:2,Pierce County District 2
ocd-division/country:us/state:nd/county:pierce/council_district:3,Pierce County District 3
ocd-division/country:us/state:nd/county:pierce/council_district:4,Pierce County District 4
ocd-division/country:us/state:nd/county:pierce/council_district:5,Pierce County District 5
ocd-division/country:us/state:nd/county:renville/council_district:1,Renville County District 1
ocd-division/country:us/state:nd/county:renville/council_district:2,Renville County District 2
ocd-division/country:us/state:nd/county:renville/council_district:3,Renville County District 3
ocd-division/country:us/state:nd/county:sheridan/council_district:1,Sheridan County District 1
ocd-division/country:us/state:nd/county:sheridan/council_district:2,Sheridan County District 2
ocd-division/country:us/state:nd/county:sheridan/council_district:3,Sheridan County District 3
ocd-division/country:us/state:nd/county:sioux/council_district:1,Sioux County District 1
ocd-division/country:us/state:nd/county:sioux/council_district:2,Sioux County District 2
ocd-division/country:us/state:nd/county:sioux/council_district:3,Sioux County District 3
ocd-division/country:us/state:nd/county:stark/council_district:1,Stark County District 1
ocd-division/country:us/state:nd/county:stark/council_district:2,Stark County District 2
ocd-division/country:us/state:nd/county:stark/council_district:3,Stark County District 3
ocd-division/country:us/state:nd/county:stark/council_district:4,Stark County District 4
ocd-division/country:us/state:nd/county:stark/council_district:5,Stark County District 5
ocd-division/country:us/state:nd/county:steele/council_district:1,Steele County District 1
ocd-division/country:us/state:nd/county:steele/council_district:2,Steele County District 2
ocd-division/country:us/state:nd/county:steele/council_district:3,Steele County District 3
ocd-division/country:us/state:nd/county:steele/council_district:4,Steele County District 4
ocd-division/country:us/state:nd/county:steele/council_district:5,Steele County District 5
ocd-division/country:us/state:nd/county:traill/council_district:1,Traill County District 1
ocd-division/country:us/state:nd/county:traill/council_district:2,Traill County District 2
ocd-division/country:us/state:nd/county:traill/council_district:3,Traill County District 3
ocd-division/country:us/state:nd/county:traill/council_district:4,Traill County District 4
ocd-division/country:us/state:nd/county:traill/council_district:5,Traill County District 5
ocd-division/country:us/state:nd/county:wells/council_district:1,Wells County District 1
ocd-division/country:us/state:nd/county:wells/council_district:2,Wells County District 2
ocd-division/country:us/state:nd/county:wells/council_district:3,Wells County District 3
ocd-division/country:us/state:nd/county:wells/council_district:4,Wells County District 4
ocd-division/country:us/state:nd/county:wells/council_district:5,Wells County District 5
ocd-division/country:us/state:nd/county:williams/council_district:1,Williams County District 1
ocd-division/country:us/state:nd/county:williams/council_district:2,Williams County District 2
ocd-division/country:us/state:nd/county:williams/council_district:3,Williams County District 3
ocd-division/country:us/state:nd/county:williams/council_district:4,Williams County District 4
ocd-division/country:us/state:nd/county:williams/council_district:5,Williams County District 5
