ocd-division/country:us/state:ny/place:new_york/council_district:1,New York City NY - city council district 1
ocd-division/country:us/state:ny/place:new_york/council_district:2,New York City NY - city council district 2
ocd-division/country:us/state:ny/place:new_york/council_district:3,New York City NY - city council district 3
ocd-division/country:us/state:ny/place:new_york/council_district:4,New York City NY - city council district 4
ocd-division/country:us/state:ny/place:new_york/council_district:5,New York City NY - city council district 5
ocd-division/country:us/state:ny/place:new_york/council_district:6,New York City NY - city council district 6
ocd-division/country:us/state:ny/place:new_york/council_district:7,New York City NY - city council district 7
ocd-division/country:us/state:ny/place:new_york/council_district:8,New York City NY - city council district 8
ocd-division/country:us/state:ny/place:new_york/council_district:9,New York City NY - city council district 9
ocd-division/country:us/state:ny/place:new_york/council_district:10,New York City NY - city council district 10
ocd-division/country:us/state:ny/place:new_york/council_district:11,New York City NY - city council district 11
ocd-division/country:us/state:ny/place:new_york/council_district:12,New York City NY - city council district 12
ocd-division/country:us/state:ny/place:new_york/council_district:13,New York City NY - city council district 13
ocd-division/country:us/state:ny/place:new_york/council_district:14,New York City NY - city council district 14
ocd-division/country:us/state:ny/place:new_york/council_district:15,New York City NY - city council district 15
ocd-division/country:us/state:ny/place:new_york/council_district:16,New York City NY - city council district 16
ocd-division/country:us/state:ny/place:new_york/council_district:17,New York City NY - city council district 17
ocd-division/country:us/state:ny/place:new_york/council_district:18,New York City NY - city council district 18
ocd-division/country:us/state:ny/place:new_york/council_district:19,New York City NY - city council district 19
ocd-division/country:us/state:ny/place:new_york/council_district:20,New York City NY - city council district 20
ocd-division/country:us/state:ny/place:new_york/council_district:21,New York City NY - city council district 21
ocd-division/country:us/state:ny/place:new_york/council_district:22,New York City NY - city council district 22
ocd-division/country:us/state:ny/place:new_york/council_district:23,New York City NY - city council district 23
ocd-division/country:us/state:ny/place:new_york/council_district:24,New York City NY - city council district 24
ocd-division/country:us/state:ny/place:new_york/council_district:25,New York City NY - city council district 25
ocd-division/country:us/state:ny/place:new_york/council_district:26,New York City NY - city council district 26
ocd-division/country:us/state:ny/place:new_york/council_district:27,New York City NY - city council district 27
ocd-division/country:us/state:ny/place:new_york/council_district:28,New York City NY - city council district 28
ocd-division/country:us/state:ny/place:new_york/council_district:29,New York City NY - city council district 29
ocd-division/country:us/state:ny/place:new_york/council_district:30,New York City NY - city council district 30
ocd-division/country:us/state:ny/place:new_york/council_district:31,New York City NY - city council district 31
ocd-division/country:us/state:ny/place:new_york/council_district:32,New York City NY - city council district 32
ocd-division/country:us/state:ny/place:new_york/council_district:33,New York City NY - city council district 33
ocd-division/country:us/state:ny/place:new_york/council_district:34,New York City NY - city council district 34
ocd-division/country:us/state:ny/place:new_york/council_district:35,New York City NY - city council district 35
ocd-division/country:us/state:ny/place:new_york/council_district:36,New York City NY - city council district 36
ocd-division/country:us/state:ny/place:new_york/council_district:37,New York City NY - city council district 37
ocd-division/country:us/state:ny/place:new_york/council_district:38,New York City NY - city council district 38
ocd-division/country:us/state:ny/place:new_york/council_district:39,New York City NY - city council district 39
ocd-division/country:us/state:ny/place:new_york/council_district:40,New York City NY - city council district 40
ocd-division/country:us/state:ny/place:new_york/council_district:41,New York City NY - city council district 41
ocd-division/country:us/state:ny/place:new_york/council_district:42,New York City NY - city council district 42
ocd-division/country:us/state:ny/place:new_york/council_district:43,New York City NY - city council district 43
ocd-division/country:us/state:ny/place:new_york/council_district:44,New York City NY - city council district 44
ocd-division/country:us/state:ny/place:new_york/council_district:45,New York City NY - city council district 45
ocd-division/country:us/state:ny/place:new_york/council_district:46,New York City NY - city council district 46
ocd-division/country:us/state:ny/place:new_york/council_district:47,New York City NY - city council district 47
ocd-division/country:us/state:ny/place:new_york/council_district:48,New York City NY - city council district 48
ocd-division/country:us/state:ny/place:new_york/council_district:49,New York City NY - city council district 49
ocd-division/country:us/state:ny/place:new_york/council_district:50,New York City NY - city council district 50
ocd-division/country:us/state:ny/place:new_york/council_district:51,New York City NY - city council district 51
ocd-division/country:us/state:ny/place:buffalo/council_district:ellicott,Buffalo NY - common council Ellicot District
ocd-division/country:us/state:ny/place:buffalo/council_district:lovejoy,Buffalo NY - common council Lovejoy District
ocd-division/country:us/state:ny/place:buffalo/council_district:fillmore,Buffalo NY - common council Fillmore District
ocd-division/country:us/state:ny/place:buffalo/council_district:north,Buffalo NY - common council North District
ocd-division/country:us/state:ny/place:buffalo/council_district:south,Buffalo NY - common council South District
ocd-division/country:us/state:ny/place:buffalo/council_district:delaware,Buffalo NY - common council Delaware District
ocd-division/country:us/state:ny/place:buffalo/council_district:niagara,Buffalo NY - common council Niagara District
ocd-division/country:us/state:ny/place:buffalo/council_district:university,Buffalo NY - common council University District
ocd-division/country:us/state:ny/place:buffalo/council_district:masten,Buffalo NY - common council Masten District
ocd-division/country:us/state:ny/place:yonkers/council_district:1,Yonkers NY city council district 1
ocd-division/country:us/state:ny/place:yonkers/council_district:2,Yonkers NY city council district 2
ocd-division/country:us/state:ny/place:yonkers/council_district:3,Yonkers NY city council district 3
ocd-division/country:us/state:ny/place:yonkers/council_district:4,Yonkers NY city council district 4
ocd-division/country:us/state:ny/place:yonkers/council_district:5,Yonkers NY city council district 5
ocd-division/country:us/state:ny/place:yonkers/council_district:6,Yonkers NY city council district 6
ocd-division/country:us/state:ny/place:albany/ward:1,Albany NY - ward 1
ocd-division/country:us/state:ny/place:albany/ward:2,Albany NY - ward 2
ocd-division/country:us/state:ny/place:albany/ward:3,Albany NY - ward 3
ocd-division/country:us/state:ny/place:albany/ward:4,Albany NY - ward 4
ocd-division/country:us/state:ny/place:albany/ward:5,Albany NY - ward 5
ocd-division/country:us/state:ny/place:albany/ward:6,Albany NY - ward 6
ocd-division/country:us/state:ny/place:albany/ward:7,Albany NY - ward 7
ocd-division/country:us/state:ny/place:albany/ward:8,Albany NY - ward 8
ocd-division/country:us/state:ny/place:albany/ward:9,Albany NY - ward 9
ocd-division/country:us/state:ny/place:albany/ward:10,Albany NY - ward 10
ocd-division/country:us/state:ny/place:albany/ward:11,Albany NY - ward 11
ocd-division/country:us/state:ny/place:albany/ward:12,Albany NY - ward 12
ocd-division/country:us/state:ny/place:albany/ward:13,Albany NY - ward 13
ocd-division/country:us/state:ny/place:albany/ward:14,Albany NY - ward 14
ocd-division/country:us/state:ny/place:albany/ward:15,Albany NY - ward 15
ocd-division/country:us/state:ny/place:rochester/council_district:east,Rochester NY City Council district East
ocd-division/country:us/state:ny/place:rochester/council_district:south,Rochester NY City Council district South
ocd-division/country:us/state:ny/place:rochester/council_district:northeast,Rochester NY City Council district Northeast
ocd-division/country:us/state:ny/place:rochester/council_district:northwest,Rochester NY City Council district Northwest
ocd-division/country:us/state:ny/place:syracuse/council_district:1,Syracuse NY Common Council district 1
ocd-division/country:us/state:ny/place:syracuse/council_district:2,Syracuse NY Common Council district 2
ocd-division/country:us/state:ny/place:syracuse/council_district:3,Syracuse NY Common Council district 3
ocd-division/country:us/state:ny/place:syracuse/council_district:4,Syracuse NY Common Council district 4
ocd-division/country:us/state:ny/county:erie/council_district:1,Erie County NY Legislature District 1
ocd-division/country:us/state:ny/county:erie/council_district:2,Erie County NY Legislature District 2
ocd-division/country:us/state:ny/county:erie/council_district:3,Erie County NY Legislature District 3
ocd-division/country:us/state:ny/county:erie/council_district:4,Erie County NY Legislature District 4
ocd-division/country:us/state:ny/county:erie/council_district:5,Erie County NY Legislature District 5
ocd-division/country:us/state:ny/county:erie/council_district:6,Erie County NY Legislature District 6
ocd-division/country:us/state:ny/county:erie/council_district:7,Erie County NY Legislature District 7
ocd-division/country:us/state:ny/county:erie/council_district:8,Erie County NY Legislature District 8
ocd-division/country:us/state:ny/county:erie/council_district:9,Erie County NY Legislature District 9
ocd-division/country:us/state:ny/county:erie/council_district:10,Erie County NY Legislature District 10
ocd-division/country:us/state:ny/county:erie/council_district:11,Erie County NY Legislature District 11
ocd-division/country:us/state:ny/county:monroe/council_district:1,Monroe County NY Legislature District 1
ocd-division/country:us/state:ny/county:monroe/council_district:2,Monroe County NY Legislature District 2
ocd-division/country:us/state:ny/county:monroe/council_district:3,Monroe County NY Legislature District 3
ocd-division/country:us/state:ny/county:monroe/council_district:4,Monroe County NY Legislature District 4
ocd-division/country:us/state:ny/county:monroe/council_district:5,Monroe County NY Legislature District 5
ocd-division/country:us/state:ny/county:monroe/council_district:6,Monroe County NY Legislature District 6
ocd-division/country:us/state:ny/county:monroe/council_district:7,Monroe County NY Legislature District 7
ocd-division/country:us/state:ny/county:monroe/council_district:8,Monroe County NY Legislature District 8
ocd-division/country:us/state:ny/county:monroe/council_district:9,Monroe County NY Legislature District 9
