ocd-division/country:us/state:ar/county:ashley/council_district:1,Ashley County District 1
ocd-division/country:us/state:ar/county:ashley/council_district:2,Ashley County District 2
ocd-division/country:us/state:ar/county:ashley/council_district:3,Ashley County District 3
ocd-division/country:us/state:ar/county:ashley/council_district:4,Ashley County District 4
ocd-division/country:us/state:ar/county:ashley/council_district:5,Ashley County District 5
ocd-division/country:us/state:ar/county:ashley/council_district:6,Ashley County District 6
ocd-division/country:us/state:ar/county:ashley/council_district:7,Ashley County District 7
ocd-division/country:us/state:ar/county:ashley/council_district:8,Ashley County District 8
ocd-division/country:us/state:ar/county:ashley/council_district:9,Ashley County District 9
ocd-division/country:us/state:ar/county:ashley/council_district:10,Ashley County District 10
ocd-division/country:us/state:ar/county:ashley/council_district:11,Ashley County District 11
ocd-division/country:us/state:ar/county:baxter/council_district:1,Baxter County District 1
ocd-division/country:us/state:ar/county:baxter/council_district:2,Baxter County District 2
ocd-division/country:us/state:ar/county:baxter/council_district:3,Baxter County District 3
ocd-division/country:us/state:ar/county:baxter/council_district:4,Baxter County District 4
ocd-division/country:us/state:ar/county:baxter/council_district:5,Baxter County District 5
ocd-division/country:us/state:ar/county:baxter/council_district:6,Baxter County District 6
ocd-division/country:us/state:ar/county:baxter/council_district:7,Baxter County District 7
ocd-division/country:us/state:ar/county:baxter/council_district:8,Baxter County District 8
ocd-division/country:us/state:ar/county:baxter/council_district:9,Baxter County District 9
ocd-division/country:us/state:ar/county:baxter/council_district:10,Baxter County District 10
ocd-division/country:us/state:ar/county:baxter/council_district:11,Baxter County District 11
ocd-division/country:us/state:ar/county:benton/council_district:1,Benton County District 1
ocd-division/country:us/state:ar/county:benton/council_district:2,Benton County District 2
ocd-division/country:us/state:ar/county:benton/council_district:3,Benton County District 3
ocd-division/country:us/state:ar/county:benton/council_district:4,Benton County District 4
ocd-division/country:us/state:ar/county:benton/council_district:5,Benton County District 5
ocd-division/country:us/state:ar/county:benton/council_district:6,Benton County District 6
ocd-division/country:us/state:ar/county:benton/council_district:7,Benton County District 7
ocd-division/country:us/state:ar/county:benton/council_district:8,Benton County District 8
ocd-division/country:us/state:ar/county:benton/council_district:9,Benton County District 9
ocd-division/country:us/state:ar/county:benton/council_district:10,Benton County District 10
ocd-division/country:us/state:ar/county:benton/council_district:11,Benton County District 11
ocd-division/country:us/state:ar/county:benton/council_district:12,Benton County District 12
ocd-division/country:us/state:ar/county:benton/council_district:13,Benton County District 13
ocd-division/country:us/state:ar/county:benton/council_district:14,Benton County District 14
